問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
emission,排出、排出物,emit（放出する）から,We must cut carbon emissions.,10,,,,,,
carbon dioxide,二酸化炭素,2語で1つの意味,Trees absorb carbon dioxide.,10,,,,,,
renewable,再生可能な,renew（新しくする）＋ able,Solar power is renewable.,10,,,,,,
fossil fuel,化石燃料,2語で1つの意味,Fossil fuels cause pollution.,10,,,,,,
solar,太陽の,,They installed solar panels.,10,,,,,,
nuclear,原子力の,,Nuclear power is controversial.,10,,,,,,
conservation,保護、保存,conserve（保護する）から,Wildlife conservation is urgent.,10,,,,,,
ecosystem,生態系,eco（生態）＋ system,The ecosystem is fragile.,10,,,,,,
biodiversity,生物多様性,bio（生命）＋ diversity（多様性）,Biodiversity is decreasing.,10,,,,,,
deforestation,森林伐採,de（除く）＋ forest（森）,Deforestation harms the climate.,10,,,,,,
desert,砂漠、見捨てる,意味が2つある,The desert is expanding.,10,,,,,,
landfill,埋め立て地,land（土地）＋ fill（埋める）,The landfill is almost full.,10,,,,,,
recycling,再生利用,,Recycling reduces waste.,10,,,,,,
contamination,汚染,contaminate（汚染する）から,Water contamination is serious.,10,,,,,,
sewage,下水,,Sewage must be treated.,10,,,,,,
drainage,排水,drain（排水する）から,The drainage system is old.,10,,,,,,
greenhouse gas,温室効果ガス,2語で1つの意味,Greenhouse gases trap heat.,10,,,,,,
sea level,海面,2語で1つの意味,The sea level is rising.,10,,,,,,
endangered,絶滅の危機にある,danger（危険）から,This is an endangered species.,10,,,,,,
habitat,生息地,,The habitat was destroyed.,10,,,,,,
