問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
basketball,バスケットボール,basket（かご）＋ ball,I play basketball after school.,10,,,,,,
volleyball,バレーボール,volley（打ち返す）＋ ball,She is on the volleyball team.,10,,,,,,
badminton,バドミントン,,We played badminton in the gym.,10,,,,,,
rugby,ラグビー,,Rugby is popular in that country.,10,,,,,,
skiing,スキー,ski（スキーをする）＋ ing,I go skiing every winter.,10,,,,,,
skating,スケート,,Skating is difficult for me.,10,,,,,,
marathon,マラソン,,He ran a marathon last year.,10,,,,,,
coach,監督、コーチ,,Our coach is very strict.,10,,,,,,
player,選手,play（する）＋ er（人）,He is a great player.,10,,,,,,
match,試合、合う,意味が2つある,The match was exciting.,10,,,,,,
referee,審判,,The referee blew the whistle.,10,,,,,,
champion,優勝者,,She became the champion.,10,,,,,,
tournament,トーナメント、大会,,The tournament starts next week.,10,,,,,,
helmet,ヘルメット,,Wear a helmet when you ride.,10,,,,,,
stadium,競技場、スタジアム,,The stadium was full.,10,,,,,,
court,コート、裁判所,意味が2つある,The tennis court is over there.,10,,,,,,
lose,負ける、失う,意味が2つある,We lost the game.,10,,,,,,
beat,負かす、たたく,意味が2つある,We beat the other team.,10,,,,,,
cheer,応援する,,We cheered for our team.,10,,,,,,
record,記録、記録する,名詞にも動詞にも使う,He broke the world record.,10,,,,,,
