問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
school,学校,school festival で「学園祭」,I go to school by bus.,10,,,,
teacher,先生,teach（教える）＋ er（人）,Our teacher is very kind.,10,,,,
student,生徒・学生,小中高から大学まで広く使えます,She is a good student.,10,,,,
friend,友だち,つづりの ie に注意,He is my best friend.,10,,,,
class,授業・クラス,「授業」の意味でもよく使います,We have three classes today.,10,,,,
classroom,教室,class（クラス）＋ room（部屋）,The classroom is very clean.,10,,,,
desk,机,勉強や仕事に使う机です,My desk is by the window.,10,,,,
chair,いす,背もたれのあるいすを指します,Please sit on this chair.,10,,,,
book,本,notebook はノートです,I read a book every night.,10,,,,
notebook,ノート,note（書きとめる）＋ book,I write in my notebook.,10,,,,
pen,ペン,May I use your pen? のように使います,This pen writes well.,10,,,,
pencil,えんぴつ,pencil case で「筆箱」,I need a new pencil.,10,,,,
eraser,消しゴム,erase（消す）＋ er,Can I borrow your eraser?,10,,,,
bag,かばん,school bag で「通学かばん」,My bag is very heavy.,10,,,,
library,図書館,発音は「ライブラリー」,We study in the library.,10,,,,
homework,宿題,数えられない語なので s は付けません,I finish my homework before dinner.,10,,,,
test,テスト,take a test で「テストを受ける」,We have a math test today.,10,,,,
question,質問,反対は answer です,May I ask a question?,10,,,,
answer,答え,動詞では「答える」,Your answer is correct.,10,,,,
lesson,授業・けいこ,習いごとにも使います,I have a piano lesson today.,10,,,,
