I have been [studying] English for three years.,私は3年間ずっと英語を勉強しています。,have been -ing は「ずっと〜している」という続いている動作を表します。,,40,
She [usually] goes to school by bus.,彼女はふだんバスで学校へ行きます。,頻度を表す副詞は、一般動詞の前に置きます。,,40,
We are looking [forward] to the school festival.,私たちは学園祭を楽しみにしています。,look forward to のあとは名詞か動名詞が来ます。,,40,
He was [absent] from class yesterday.,彼はきのう授業を欠席しました。,be absent from 〜 で「〜を欠席する」。反対は be present。,,40,
Please [turn] off the light when you leave.,出るときは電気を消してください。,turn off は「消す」、turn on は「つける」。,,40,
This book is [easier] than that one.,この本はあの本より簡単です。,easy の比較級は y を i に変えて er を付けます。,,40,
They have [already] finished their homework.,彼らはもう宿題を終えました。,already は肯定文、yet は否定文や疑問文で使います。,,40,
I would like to [introduce] my friend to you.,あなたに友人を紹介したいのですが。,would like to do は want to do のていねいな言い方です。,,40,
The train will [arrive] at ten o'clock.,その電車は10時に到着します。,arrive at は場所や時刻、arrive in は広い地域に使います。,,40,
Do not [forget] to bring your umbrella.,かさを持ってくるのを忘れないでください。,forget to do は「これからすることを忘れる」という意味です。,,40,
