問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
student list,名簿,2語で1つの意味,Check the student list.,10,,,,,,
school event,学校行事,2語で1つの意味,The school event is in May.,10,,,,,,
activity,活動,active（活動的な）から,Club activity starts at four.,10,,,,,,
project work,課題学習,2語で1つの意味,We finished our project work.,10,,,,,,
topic,話題、題目,,Choose a topic for your speech.,10,,,,,,
question sheet,問題用紙,2語で1つの意味,Turn over the question sheet.,10,,,,,,
answer sheet,解答用紙,2語で1つの意味,Write your name on the answer sheet.,10,,,,,,
problem set,問題集,2語で1つの意味,Finish the problem set.,10,,,,,,
school rule,校則,2語で1つの意味,Follow the school rules.,10,,,,,,
classmate name,同級生の名前,2語で1つの意味,Learn every classmate name.,10,,,,,,
school year end,学年末,3語で1つの意味,The school year end is in March.,10,,,,,,
learning goal,学習の目標,2語で1つの意味,Write your learning goal.,10,,,,,,
school library,学校図書館,2語で1つの意味,The school library is quiet.,10,,,,,,
reading time,読書の時間,2語で1つの意味,Reading time is before class.,10,,,,,,
school bus,スクールバス,2語で1つの意味,The school bus comes at eight.,10,,,,,,
field day,運動の日,2語で1つの意味,Field day was canceled.,10,,,,,,
school gate,校門,2語で1つの意味,Meet me at the school gate.,10,,,,,,
