問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
愛,あい,大切に思う気持ち,,15,あい,,,
案内,あんない,道やようすを教えること,,15,あんない,,,
以上,いじょう,それより多いこと,,15,いじょう,,,
一位,いちい,いちばん上の順番,,15,いちい,,,
衣服,いふく,体に着るもの,,15,いふく,,,
福井,ふくい,北陸地方の県,,15,ふくい,,,
茨,いばら,とげのある草,,15,いばら,,,
印,しるし,目じるしにつけるもの,,15,しるし,,,
栄える,さかえる,いきおいがよくなる,,15,さかえる,,,
英語,えいご,イギリスやアメリカのことば,,15,えいご,,,
塩,しお,しょっぱい調味料,,15,しお,,,
岡,おか,小高い土地,,15,おか,,,
沖,おき,岸からはなれた海,,15,おき,,,
一億,いちおく,一万の一万倍の数,,15,いちおく,,,
加える,くわえる,足して多くする,,15,くわえる,,,
果たす,はたす,やりとげる,,15,はたす,,,
課題,かだい,取り組むべき問題,,15,かだい,,,
貨物,かもつ,運ばれる荷,,15,かもつ,,,
芽,め,植物が出しはじめる部分,,15,め,,,
年賀,ねんが,新年のいわい,,15,ねんが,,,
改める,あらためる,新しくよくする,,15,あらためる,,,
機械,きかい,力で動くしかけ,,15,きかい,,,
害,がい,わるいえいきょう,,15,がい,,,
街,まち,店がならぶにぎやかな通り,,15,まち,,,
各自,かくじ,それぞれの人,,15,かくじ,,,
覚える,おぼえる,頭にとどめておく,,15,おぼえる,,,
潟,かた,海水が引くとあらわれる砂地,,15,かた,,,
完成,かんせい,すっかりできあがること,,15,かんせい,,,
長官,ちょうかん,役所のいちばん上の人,,15,ちょうかん,,,
管,くだ,中があいた細いつつ,,15,くだ,,,
観光,かんこう,名所を見て回ること,,15,かんこう,,,
関係,かんけい,つながりのぐあい,,15,かんけい,,,
願う,ねがう,そうなってほしいと思う,,15,ねがう,,,
楽器,がっき,音を出す道具,,15,がっき,,,
岐路,きろ,分かれ道,,15,きろ,,,
希望,きぼう,こうあってほしいという思い,,15,きぼう,,,
旗,はた,ぬのに印をつけたしるし,,15,はた,,,
飛行機,ひこうき,空をとぶ乗り物,,15,ひこうき,,,
季節,きせつ,春夏秋冬の分かれ目,,15,きせつ,,,
会議,かいぎ,集まって話し合うこと,,15,かいぎ,,,
